id;time
0;88793871
1;90527280
2;88822185
3;83683939
4;75139503
5;77389315
6;72564850
7;68959994
8;89027365
9;71965276
10;72346908
11;75763335
12;73923767
13;111655919
14;68237651
15;66546665
16;67556546
17;73489255
18;72143002
19;67850975
20;71160941
21;68854829
22;69732415
23;66137302
24;63485737
25;70162696
26;64877563
27;67253801
28;68329539
29;64014520
30;62580173
31;67270708
32;66931328
33;69039610
34;69055180
35;61473546
36;63905764
37;63617928
38;69606648
39;71958391
40;65239605
41;61927643
42;67071625
43;69789191
44;65970684
45;76471379
46;62956847
47;74780938
48;66783354
49;63759024
50;65689217
51;60469942
52;64539747
53;60680433
54;65467799
55;60585220
56;62891664
57;62543430
58;72743588
59;63413309
60;75183136
61;104327026
62;63751350
63;59517376
64;60706216
65;60448934
66;109695477
67;63767279
68;66452086
69;64450306
70;63581627
71;64568475
72;63599881
73;63981444
74;60099281
75;61493698
76;62930109
77;71199081
78;64207788
79;59842200
80;64977863
81;76010421
82;125394379
83;62582361
84;60542662
85;61257270
86;61030901
87;68405076
88;58470785
89;61505279
90;62763384
91;61855402
92;73236769
93;61722515
94;60261405
95;62645760
96;61972807
97;61995319
98;67450628
99;64807889
